Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.149,0.0,0.0745119767503532,-0.2793945652823953,-1.0,-0.4693877551020408,-0.5,0.2,0.0,-0.4969325153374233,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.149,0.0,0.0745119767503532,-0.2793945652823953,-1.0,0.5306122448979592,-0.5,0.2,0.0,0.2044989775051124,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.149,0.0,0.0745119767503532,-0.2793945652823953,-1.0,1.5510204081632653,-0.5,0.2,0.0,0.9202453987730062,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.149,0.0,0.0745119767503532,-0.2793945652823953,-0.6666666666666666,-0.4693877551020408,-0.5,0.2,0.0,-0.4948875255623722,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.149,0.0,0.0745119767503532,-0.2793945652823953,-0.6666666666666666,0.0204081632653061,-0.5,0.2,0.0,-0.1022494887525562,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.149,0.0,0.0745119767503532,-0.2793945652823953,-0.6666666666666666,0.5306122448979592,-0.5,0.2,0.0,0.3067484662576687,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-1.0,-0.4693877551020408,-0.5,0.8,0.0,-0.4969325153374233,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-1.0,0.0,-0.5,0.8,0.0,-0.1676891615541922,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-1.0,0.4897959183673469,-0.5,0.8,0.0,0.1758691206543967,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-0.3333333333333333,-0.4693877551020408,-0.5,0.8,0.0,-0.492842535787321,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-0.3333333333333333,0.0,-0.5,0.8,0.0,-0.0695296523517382,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-0.3333333333333333,0.4897959183673469,-0.5,0.8,0.0,0.3721881390593047,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,0.0,-0.4693877551020408,-0.5,0.8,0.0,-0.4907975460122699,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,0.0,-0.2448979591836734,-0.5,0.8,0.0,-0.2658486707566462,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,0.0,0.0,-0.5,0.8,0.0,-0.0204498977505112,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.2273466359773537,-0.6666666666666666,-0.4693877551020408,-0.5,0.8,0.0,-0.4948875255623722,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.2273466359773537,-0.6666666666666666,0.0,-0.5,0.8,0.0,-0.1186094069529652,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.2273466359773537,-0.6666666666666666,0.4897959183673469,-0.5,0.8,0.0,0.2740286298568507,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.2273466359773537,0.0,-0.4693877551020408,-0.5,0.8,0.0,-0.4907975460122699,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.2273466359773537,0.0,0.0,-0.5,0.8,0.0,-0.0204498977505112,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.2273466359773537,0.0,0.4897959183673469,-0.5,0.8,0.0,0.4703476482617587,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.636363636363636,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-1.0,-0.4693877551020408,-0.5,1.2,0.0,-0.4969325153374233,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.636363636363636,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-1.0,0.5306122448979592,-0.5,1.2,0.0,0.2044989775051124,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.636363636363636,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-1.0,1.5510204081632653,-0.5,1.2,0.0,0.9202453987730062,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.636363636363636,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-0.3333333333333333,-0.4693877551020408,-0.5,1.2,0.0,-0.492842535787321,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.636363636363636,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-0.3333333333333333,0.5306122448979592,-0.5,1.2,0.0,0.4089979550102249,0
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,-3.636363636363636,0.0,25.0,-0.476,0.0,-0.3149026425528584,0.4054117420350298,-0.3333333333333333,1.5510204081632653,-0.5,1.2,0.0,1.329243353783231,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.1696790496148795,-0.6666666666666666,-0.4693877551020408,0.0,0.8,0.0,-0.4948875255623722,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.1696790496148795,-0.6666666666666666,0.0204081632653061,0.0,0.8,0.0,-0.1022494887525562,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.476,0.0,-0.1831547929923847,-0.1696790496148795,-0.6666666666666666,0.5306122448979592,0.0,0.8,0.0,0.3067484662576687,0
