Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,predicted_n,log10_k,alloy_group,kinetics_class
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.46076805291318257,0.0,-0.46938775510204084,-0.5,0.0,0.0,-0.49079754601226994,-1.0,2.3979400086720375,TiZrNbHfTa,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.46076805291318257,0.0,-0.24489795918367346,-0.5,0.0,0.0,-0.2658486707566462,-1.0,2.3979400086720375,TiZrNbHfTa,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.46076805291318257,0.0,0.0,-0.5,0.0,0.0,-0.02044989775051125,-1.0,2.3979400086720375,TiZrNbHfTa,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.774,0.0,0.6725039485027153,-0.9336324025270903,-1.0,-0.46938775510204084,-0.5,0.2,0.0,-0.49693251533742333,-1.0,1.5440680443502757,TiVNbTa,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.774,0.0,0.6725039485027153,-0.9336324025270903,-1.0,0.0,-0.5,0.2,0.0,-0.16768916155419222,-1.0,1.5440680443502757,TiVNbTa,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.774,0.0,0.6725039485027153,-0.9336324025270903,-1.0,0.4897959183673469,-0.5,0.2,0.0,0.17586912065439672,-1.0,1.5440680443502757,TiVNbTa,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.774,0.0,0.6725039485027153,-0.9336324025270903,-0.3333333333333333,-0.46938775510204084,-0.5,0.2,0.0,-0.49284253578732107,-1.0,2.113943352306837,TiVNbTa,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.774,0.0,0.6725039485027153,-0.9336324025270903,-0.3333333333333333,0.0,-0.5,0.2,0.0,-0.06952965235173825,-1.0,2.113943352306837,TiVNbTa,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.774,0.0,0.6725039485027153,-0.9336324025270903,-0.3333333333333333,0.4897959183673469,-0.5,0.2,0.0,0.3721881390593047,-1.0,2.113943352306837,TiVNbTa,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909091,0.0,0.0,0.774,0.0,0.6725039485027153,-0.9336324025270903,0.0,-0.46938775510204084,-0.5,0.2,0.0,-0.49079754601226994,-1.0,2.462397997898956,TiVNbTa,0
